@0	0000000000111100
@1	0000000011100001
@2	0000000010111110
@3	0000000010011011
@4	0000000010010010
@5	0000000011101111
@6	0000000001001010
@7	0000000001011110
@8	0010011011001100
@9	0010110110110001
@a	0000000100101011
@b	0001100110010011
@c	0001011001011110
@d	0011010101000100
@e	0011010101111111
@f	0000111100011010
@10	0001101001010111
@11	0001010111001101
@12	0010110100110110
@13	0011011111111111
@14	0001011000001010
@15	0001001001100011
@16	0000001011010100
@17	0000001110100001
@18	0000000101001010
@19	0000001111110011
@1a	0000000111100110
@1b	0000001001011100
@1c	0000000111010100
@1d	0000000101111111
@1e	0000000100001010
@1f	0000000100100011
